model,status,accuracy,precision,recall,f1,roc_auc,cross_val_accuracy,training_time_seconds
Random Forest,trained,0.92,0.9266666666666667,0.9214285714285714,0.9156399156399158,0.9738095238095237,0.7799999999999999,0.12966366700129583
Logistic Regression,trained,0.92,0.9333333333333333,0.9,0.8969696969696969,0.9880952380952381,0.8099999999999999,0.008186082995962352
SVM,trained,0.84,0.885,0.8428571428571429,0.8316239316239316,0.9563492063492063,0.7599999999999999,0.0056092499871738255
XGBoost,not available,,,,,,,
LightGBM,not available,,,,,,,
CatBoost,trained,0.92,0.9428571428571428,0.9214285714285714,0.9227106227106228,0.9928571428571429,0.78,0.12891454101190902
